NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1231,12.660,"skinny, thin",kurus,dengkeng,dengkeng mV-  +LBH +SLG: mo- +OYM~,Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-   ,,,,,stative,prop / sta,kata sifat,1071,273,266.0,0.0,Z12.65A,,
1231,12.660,"skinny, thin",kurus,dengkeng,dengkeng mV-  +LBH +SLG: mo- +OYM~,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-   ,,,,,stative,prop / sta,kata sifat,1071,273,266.0,0.0,Z12.65A,,
1231,12.660,"skinny, thin",kurus,,dengkeng mV-  +LBH +SLG: mo- +OYM~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mo- ,,,,,stative,prop / sta,kata sifat,1071,273,266.0,0.0,Z12.65A,,
1232,12.640,fat (adj.),gemuk,bogoL,"bogoL mV-E +LBH, SLG: lomud mV-E",Dondo,Lemba Harapan,120.3236,0.8088,,True,,,False,nan,mV-E ,,,,,stative,prop / sta,kata sifat,1067,274*,103.0,0.0,C113 E105 Z12.63A,,
1233,15.850,hot (water),panas (air),onda',onda' mV-E -omo  +LBH +SLG +OYM~ +SKT,Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV-E -omo     ,,,,,stative,,kata sifat,1104/5,275,141.0,138.0,C46 D88 E40 F40 G46,93.0,
1233,15.850,hot (water),panas (air),onda',onda' mV-E -omo  +LBH +SLG +OYM~ +SKT,Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV-E -omo     ,,,,,stative,,kata sifat,1104/5,275,141.0,138.0,C46 D88 E40 F40 G46,93.0,
1233,15.850,hot (water),panas (air),onda',onda' mV-E -omo  +LBH +SLG +OYM~ +SKT,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV-E -omo     ,,,,,stative,,kata sifat,1104/5,275,141.0,138.0,C46 D88 E40 F40 G46,93.0,
1233,15.850,hot (water),panas (air),onda',onda' mV-E -omo  +LBH +SLG +OYM~ +SKT,Dondo,Sikotong/Muara Besar,120.61667,0.88333,,False,,,False,nan,mV-E -omo     ,,,,,stative,,kata sifat,1104/5,275,141.0,138.0,C46 D88 E40 F40 G46,93.0,
1234,15.860,cold (water),"dingin (air), sejuk",joLo,"joLo mV- -mo (udara, air) +SLG +OYM~ +LBH: me-, ondu mV- -mo (kain, lantai)  +SLG (air)",Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,mV- -mo    ,,(udara; air),,,stative,,kata sifat,1107,276,55.0,139.0,C49 D89 E42 F42 G48,94.0,22.0
1234,15.860,cold (water),"dingin (air), sejuk",joLo,"joLo mV- -mo (udara, air) +SLG +OYM~ +LBH: me-, ondu mV- -mo (kain, lantai)  +SLG (air)",Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,mV- -mo    ,,(udara; air),,,stative,,kata sifat,1107,276,55.0,139.0,C49 D89 E42 F42 G48,94.0,22.0
1234,15.860,cold (water),"dingin (air), sejuk",joLo,"joLo mV- -mo (udara, air) +SLG +OYM~ +LBH: me-, ondu mV- -mo (kain, lantai)  +SLG (air)",Dondo,Lemba Harapan,120.3236,0.8088,,False,,,False,nan,mV- -mo    ,,(udara; air),,,stative,,kata sifat,1107,276,55.0,139.0,C49 D89 E42 F42 G48,94.0,22.0
1234,15.860,cold (water),"dingin (air), sejuk",ondu,"joLo mV- -mo (udara, air) +SLG +OYM~ +LBH: me-, ondu mV- -mo (kain, lantai)  +SLG (air)",Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV- -mo    ,,"(kain; lantai)', '(air)",,,stative,,kata sifat,1107,276,55.0,139.0,C49 D89 E42 F42 G48,94.0,22.0
1236,15.790,"dull (knife), blunt","tumpul, majal (w)",unjuL,unjuL mV-E  +SLG +LBH,Dondo,Salugan,120.8462,0.9142,,True,,,False,nan,mV-E   ,,,,,stative,property,kata sifat,1099,278,83.0,82.0,,,33.0
