NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0809b,08.155,clear jungle/brushwood,"merintis hutan, bersihkan rumput",lopung,"lopung me-, JJA: gali moN- p32",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,me-,,,,farming,tr/intr,action,,,,0.0,0.0,,,
0809b,08.155,clear jungle/brushwood,"merintis hutan, bersihkan rumput",gali,"lopung me-, JJA: gali moN- p32",Lauje,Janja,120.4628,0.74811,,True,,,False,nan,moN- ,,,,farming,tr/intr,action,,,,0.0,0.0,,,
0810,01.851,burn (field),bakar  membakar (kebun) ->08.150,lampung,lampung mo-E  +BBG +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,mo-E   ,,,,,tr,action,kata kerja,1276,405*,35.0,144.0,C48 D97 E41 F41 G43,,19.0
0811,01.852,burn (intr.),sedang terbakar (intr.),lampung,lampung 'V--ang RDP~  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,'V--ang RDP  ,,,,,intr,event,,1277,,0.0,0.0,,,
0812,08.531,plant,tanam  menanam,pomula,"pomula M-  +BBG ['], payol moN- (padi)",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,M-   ,['],,,farming,tr,action,kata kerja,0665,406*,219.0,84.0,,,
0812,08.531,plant,tanam  menanam,payol,"pomula M-  +BBG ['], payol moN- (padi)",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,moN- ,,(padi),,farming,tr,action,kata kerja,0665,406*,219.0,84.0,,,
0813,12.530,grow,tumbuh    ->08.530#->?#,tuBu,tuBu -um- pinë-~  +SBG +BBG ['],Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,-um- pinë-    ,['],,,,intr,process,kata kerja,1078,407,0.0,86.0,,,
0814,08.415,harvest,tuai  menuai,otol,"otol moN-~ 'V-RDP2 93V mongòngotol -in-~ 'V-~ 93P (padi), kato mo- -in-  ~  (padi) 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- 'V-RDP2 mongòngotol -in- 'V- ,,(padi),,farming,intr / tr,action,,0670,,0.0,0.0,,,
0814,08.415,harvest,tuai  menuai,kato,"otol moN-~ 'V-RDP2 93V mongòngotol -in-~ 'V-~ 93P (padi), kato mo- -in-  ~  (padi) 93P",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,mo- -in-     ,,(padi),,farming,intr / tr,action,,0670,,0.0,0.0,,,
0815,08.281,make a hole (with dibble in ground),membuat lubang dgn tugal,suang,suang moN- -in-~,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- -in-,,,,farming,tr,action,,0646/66,,0.0,0.0,,,
0816,08.280,dibble,tugal,suang,suang,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0645,,0.0,0.0,,,
