NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0087a,04.335,fist,"tinju, kepalan","2. saling bertinjudirangkulmemeluk""","'omus -i  'o'omusang ""1. berkeluk, 2. saling bertinju"" ni--ang ""dirangkul""  moN- ""memeluk"", janggur ->09.215",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,""" ni--ang ""', '""  moN- """,,bodyparts,noun,,,,,0.0,0.0,,,
0087a,04.335,fist,"tinju, kepalan",janggur,"'omus -i  'o'omusang ""1. berkeluk, 2. saling bertinju"" ni--ang ""dirangkul""  moN- ""memeluk"", janggur ->09.215",Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,->09.215,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0088a,04.347,index finger,jari telunjuk,tuju  eleo,tuju (nu) eleo  p13,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,(nu),,bodyparts,noun,,,0109,,0.0,0.0,,,
0089,04.321,wrist/ankle  ?,mata kaki / jari  ?#,bulali,=04.376,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,=04.376,,[b],,,bodyparts,noun,,,,,0.0,0.0,,,
0090,04.313,upper arm,pangkal lengan,'ongkong,'ongkong,Ampi,Ampibabo,120.0659,-0.4526,,True,,,True,nan,,,,,bodyparts,noun,,,0098,,0.0,0.0,,,
0091,04.352,calf,betis,bitis,bitis,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0093,040,0.0,0.0,,,
0091b,04.353,shin,tulang kering,bulud,bulud [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,,noun,,,0094,,0.0,0.0,,,
0093,04.281,nape,tengkuk,tundu,tundu  -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodyparts,noun,,,0040,,0.0,0.0,,,
0094,04.295,Adam's apple,"jakun, lekum",gorogot,gorogot,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0039,,0.0,0.0,,,
0095,04.462,waist,pinggang,tampadung,tampadung p11,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0095a,04.312,armpit,ketiak,keke,keke  -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,,noun,,,0099,,0.0,0.0,,,
0095b,04.467,pelvis,tulang pinggul,bu'u nu binggi,bu'u nu binggi  [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,[b],,,bodypart,noun,,,,,0.0,0.0,,,
0095c,04.463,hip,"pinggul, pangkal paha",binggi,binggi  -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodypart,noun,,,,,0.0,0.0,,,
0096,04.468,tailbone (coccyx),tulang tungging/ekor,mui,mui  -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodyparts,noun,,,0070,,0.0,0.0,,,
0097,04.430,navel,pusat,puse,puse -nyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo,,,,bodyparts,noun,,,0061,,0.0,0.0,,,
0099,04.271,gums,gusi,bolitang,bolitang,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0035,,0.0,0.0,,,
0100,04.272,molar,geraham,baang,baang,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0034,,0.0,0.0,,,
0101,04.452,spleen,limpa,bao,bao,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,0058,,0.0,0.0,,,
0102,04.155,"vein, tendon","urat, urat darah",uat  u=,uat  u=,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodypart,noun,,anggota tubuh,0118,055*,334.0,0.0,,,
0105,05.791,"fat, grease#",lemak,Sidole,SDL/TPD: longu -nyo  p36,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,,noun,prop / sta,anggota tubuh,1073,050*,104.0,104.0,C113 D31 E105 F101 G109,32.0,42.0
0105,05.791,"fat, grease#",lemak,longu,SDL/TPD: longu -nyo  p36,Ampi,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nyo  ,,,,,noun,prop / sta,anggota tubuh,1073,050*,104.0,104.0,C113 D31 E105 F101 G109,32.0,42.0
0106,04.232,mucus,ingus ->04.845,sopung,sopung,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,body,noun,,,0020,,0.0,0.0,,,
0107,04.146,dandruff,"ketombe, sindap",ndiap,ndiap,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0108,04.142,beard (goatee),janggut,jenggo',jenggo'  -onyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo,,,,bodyparts,noun,,,0028,,0.0,0.0,,,
0108a,04.143,"sideburns, whiskers",cambang,cambang,cambang -onyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo,,,,bodyparts,noun,,,0030,,0.0,0.0,,,
0109,04.148,moustache,kumis,bulucumi',bulucumi' -onyo [b],Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo ,[b],,,bodyparts,noun,,,0027,,0.0,0.0,,,
0112,04.740,"live, be alive",hidup ->12.530,tubu [b,tubu [b/ß] mompe- nipe-  p8,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,,intr,state,kata kerja,0182,410,0.0,76.0,,,89.0
0112,04.740,"live, be alive",hidup ->12.530,ß],tubu [b/ß] mompe- nipe-  p8,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,mompe- nipe-  ,,,,,intr,state,kata kerja,0182,410,0.0,76.0,,,89.0
0113,04.610,sleep,tidur   ->07.212,po'otulu,po'otulu M- nipo- mopo- -ang  p22 p23 p27 SDL: motulu ['] p40,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,M- nipo- mopo- -ang    ,,,,body,stative,event,kata kerja,0138,466*,269.0,48.0,C186 E59 E170 F171 G183,60.0,139.0
0113,04.610,sleep,tidur   ->07.212,motulu,po'otulu M- nipo- mopo- -ang  p22 p23 p27 SDL: motulu ['] p40,Ampi,Sidole,120.0356,-0.4768,,True,,,False,nan,,['],,,body,stative,event,kata kerja,0138,466*,269.0,48.0,C186 E59 E170 F171 G183,60.0,139.0
0114,04.621,dream,impian,pongupiong,pongupiong,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,body,noun,,,0140,,0.0,0.0,,,
0115,04.620,dream,(ber)mimpi,upi,upi moN- ni--a'~,Ampi,Ampibabo,120.0659,-0.4526,,False,,,False,nan,moN- ni--a',,,,body,intr / tr,event,kata kerja,0139,467,79.0,50.0,C211 E191 F172 G186,,
0118,04.615,shut the eyes,pejam  memejamkan mata,mpolong,mpolong mo--a' ni--a',Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,mo--a' ni--a',,,,bodyaction,intr,event / ac,,0230,,0.0,0.0,,,
