NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1111,14.180,now,sekarang,tempo naana,tempo naana / anaana,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1408,,0.0,0.0,,,
1111,14.180,now,sekarang,anaana,tempo naana / anaana,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1408,,0.0,0.0,,,
1112,14.373,once,sekali,koniinjan,koniinjan,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1328,,0.0,0.0,,,
1113,14.310,always,selalu,metetek,metetek / mettek,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adverb,,,,,0.0,0.0,,,
1113,14.310,always,selalu,mettek,metetek / mettek,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adverb,,,,,0.0,0.0,,,
1114,14.320,often,sering,mettek,=14.310,Totoli,Panasakan,120.817,1.0518,,True,,,False,=14.310,,,,,time,adverb,,,,,0.0,0.0,,,
1115,14.372,a moment ago,tadi,kaLangena,kaLangena,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1416,,0.0,0.0,,,
1116,14.340,never,tak pernah,ingga daan laus,ingga daan laus,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adverb,,,,,0.0,0.0,,,
1117,14.352,not again,tidak lagi,géimo laus,géimo laus,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,adv / qual,,,1430,,0.0,0.0,,,
1118,14.170,late,lambat  terlambat #=14.175?,amet,"amet mV- mV-RDP2 93x5, aLes mV- mV-RDP2 93x5",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,mV- mV-RDP2 5,,,,time,adv / qual,,,1393,,0.0,0.0,,,
1118,14.170,late,lambat  terlambat #=14.175?,aLes,"amet mV- mV-RDP2 93x5, aLes mV- mV-RDP2 93x5",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,mV- mV-RDP2 5,,,,time,adv / qual,,,1393,,0.0,0.0,,,
1119,14.380,after,"kemudian, sesudah itu",pombuLina,pombuLina,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,stati/intr,,,,,0.0,0.0,,,
1120,14.382,before (time),sebelum,géipo daan,géipo daan  [gepo],Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,[gepo],,,time,prepositio,,,1413,,0.0,0.0,,,
1121,14.385,from ... to (time),dari ... hingga (waktu)  =12.096,uliai ... anggad,"uliai ... anggad ~,  BTN: ole  ... sampe",Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,time,prepositio,,,1443,,0.0,0.0,,,
1121,14.385,from ... to (time),dari ... hingga (waktu)  =12.096,,"uliai ... anggad ~,  BTN: ole  ... sampe",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,prepositio,,,1443,,0.0,0.0,,,
1121,14.385,from ... to (time),dari ... hingga (waktu)  =12.096,ole  ... sampe,"uliai ... anggad ~,  BTN: ole  ... sampe",Totoli,Binontoan,121.1326,1.2872,,True,,,False,nan,,,,,time,prepositio,,,1443,,0.0,0.0,,,
1122,14.390,first time,pertama kali,dantu,dantu,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,number,,,1331,,0.0,0.0,,,
1123,14.391,second time,kedua kali,kumodoanna 5,kumodoanna 93x5  BTN: komodoanna,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,number,,,1333,,0.0,0.0,,,
1123,14.391,second time,kedua kali,komodoanna,kumodoanna 93x5  BTN: komodoanna,Totoli,Binontoan,121.1326,1.2872,,True,,,False,nan,,,,,time,number,,,1333,,0.0,0.0,,,
1124,14.392,third time,ketiga kali,kumotoloanna  5,kumotoloanna  93x5,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,time,number,,,1335,,0.0,0.0,,,
1125,12.460,west,barat,sosoLopan,"sosoLopan ~,  baLat",Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,space,noun,,posisi,1434,343*,348.0,0.0,C107 E99 F99 G106,,
1125,12.460,west,barat,baLat,"sosoLopan ~,  baLat",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,noun,,posisi,1434,343*,348.0,0.0,C107 E99 F99 G106,,
1126,12.450,east,timur,timbu·,timbu·,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,noun,,posisi,1433,344*,88.0,0.0,C106 E98 F98 G105,,
1127,12.470,north,utara,tara,tara,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,noun,,,1431,,0.0,0.0,,,
1128,12.480,south,selatan,salatan,salatan,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,noun,,,1432,,0.0,0.0,,,
1129,12.410,right (hand/side),kanan,koloanan,koloanan,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,posisi,1436,342,236.0,3.0,,,118.0
1130,12.420,left (hand/side),kiri,koig,koig,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,posisi,1435,341,161.0,2.0,,,86.0
1131,12.353,edge,pinggir,bibi,bibi -na,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,-na,,,,,noun,,posisi,,353*,0.0,0.0,C108 E100 F97 G104,,
1132,12.110,place,tempat  ->12.160,pemmeaan,pemmeaan ~ p74,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,,,,,space,noun,,,,,0.0,0.0,,,
1133,12.370,"middle, center","pertengahan, pusat",tonga,tonga -na RDP~,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,-na RDP,,,,space,noun,,,,,0.0,0.0,,,
1134,12.000,"at, in",di,dei,dei,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1448,340,0.0,173.0,,,5.0
1135,12.080,"on top of, above",di atas,dei babo,"dei babo, ampi babo ""sebelah atas"" p31",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositon,,posisi,1437,348,0.0,175.0,C101 E93 F92 G99,,
1135,12.080,"on top of, above",di atas,ampi babo,"dei babo, ampi babo ""sebelah atas"" p31",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,"""sebelah atas""",,space,prepositon,,posisi,1437,348,0.0,175.0,C101 E93 F92 G99,,
1136,12.070,"under, below",di bawah,dei panau,"dei panau, ampi panau ""sebelah bawah"" p31",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1440/1444,347*,331.0,176.0,C103 E95 F94 G101,,
1136,12.070,"under, below",di bawah,ampi panau,"dei panau, ampi panau ""sebelah bawah"" p31",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,"""sebelah bawah""",,space,prepositio,,posisi,1440/1444,347*,331.0,176.0,C103 E95 F94 G101,,
1137,12.011,behind,di belakang,dei tenggena,"dei tenggena, dei ulin",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,,349*,0.0,0.0,C105 E97 F96 G103,,
1137,12.011,behind,di belakang,dei ulin,"dei tenggena, dei ulin",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,,349*,0.0,0.0,C105 E97 F96 G103,,
1138,12.050,inside,di dalam,dei laLom,dei laLom,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1457,352,0.0,174.0,C100 E92 F91 G98,,
1139,12.432,nearby,di dekat ->12.430,dei impid,dei impid,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,,1452,,0.0,0.0,,,
1140,12.040,in front,"di depan, di muka",dei duLak,"dei duLak, dei sanjaluan",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1412,350*,0.0,0.0,C104 E96 F95 G102,,
1140,12.040,in front,"di depan, di muka",dei sanjaluan,"dei duLak, dei sanjaluan",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1412,350*,0.0,0.0,C104 E96 F95 G102,,
1141,12.060,outside,di luar,dei banaang,dei banaang,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,posisi,1455,351,0.0,0.0,C102 E94 F93 G100,,
1143,12.004,way over there,di sana,deingitu,deingitu / dengitu,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1390,326*,0.0,0.0,C99 E91 G97,,
1143,12.004,way over there,di sana,dengitu,deingitu / dengitu,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1390,326*,0.0,0.0,C99 E91 G97,,
1144,12.002,here,di sini,deingia,deingia / deinia  93.17,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1388,324*,0.0,0.0,C98 E90 G96,,71.0
1144,12.002,here,di sini,deinia  93.17,deingia / deinia  93.17,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1388,324*,0.0,0.0,C98 E90 G96,,71.0
1145,12.003,there,di situ,deingana,deingana / dengana,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1389,325*,0.0,0.0,C99 E91 G97,,162.0
1145,12.003,there,di situ,dengana,deingana / dengana,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,adv / qual,,tata bahasa,1389,325*,0.0,0.0,C99 E91 G97,,162.0
1146,12.090,toward the sea,"ke arah laut  ->10.476f,01.320",mbanako,"mbanako, panauko, tuntun monuntun/monntun p2",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,345*,0.0,0.0,,,
1146,12.090,toward the sea,"ke arah laut  ->10.476f,01.320",panauko,"mbanako, panauko, tuntun monuntun/monntun p2",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,345*,0.0,0.0,,,
1146,12.090,toward the sea,"ke arah laut  ->10.476f,01.320",tuntun monuntun,"mbanako, panauko, tuntun monuntun/monntun p2",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,345*,0.0,0.0,,,
1146,12.090,toward the sea,"ke arah laut  ->10.476f,01.320",monntun,"mbanako, panauko, tuntun monuntun/monntun p2",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,345*,0.0,0.0,,,
1147,12.091,toward the interior,ke arah (pe)dalam(an),penekko,"penekko, manako·",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,346*,0.0,0.0,,,
1147,12.091,toward the interior,ke arah (pe)dalam(an),manako·,"penekko, manako·",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / pre,,posisi,,346*,0.0,0.0,,,
1147a,12.006,hither,ke sini,ai,ai  p3,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,,intr / adv,,posisi,,,0.0,0.0,,,
1147b,12.007,in that direction,ke sana #fill up??#,ko    itu ko   makko deingitu,"ko  p3  itu ko ""ke sana"" p117 makko deingitu p117",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,"""ke sana""",,,intr / adv,,posisi,,,0.0,0.0,,,
1149,12.095,from,dari,uLiai,uLiai  / uLai p4,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,,1446,,0.0,0.0,,,
1149,12.095,from,dari,uLai,uLiai  / uLai p4,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,prepositio,,,1446,,0.0,0.0,,,
1151,12.0??,until,hingga,anggad,anggad,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,space,prepositio,,,1447,,0.0,0.0,,,
1152,12.099,"around, surrounding",keliling sekeliling,pallit,pallit maN-~ pàpallit ~ BTN: pàpalit,Totoli,Binontoan,121.1326,1.2872,,False,,,False,nan,maN- pàpallit   pàpalit,,,,space,prepositio,,,1454,,0.0,0.0,,,
1153,12.092,downstream,ke hilir,mogilig,mogilig,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,intr,action,,0966,,0.0,0.0,,,
1154,12.093,upstream,ke hulu,suba,suba ['] mo-,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,mo-,['],,,space,intr,action,,0965,,0.0,0.0,,,
1155,10.570,go inside,masuk  memasuki,seok,seok -i mo--um- -um-~ poki--an~ me-RDP~ 93.7 93x5,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,-i mo--um- -um- poki--an me-RDP 93.7 5,,,,space,intr,action,,1458,,0.0,0.0,,,
1156,10.477,go out/to the outside,keluar,lumbas,"lumbas mo-  ni-/i- i--an tipo-  (H) 93.18 93x3, labas ma- tipa- i--an (K) (also: ""gugur"")  93.18 93x3",Totoli,Panasakan,120.817,1.0518,,True,,(H),False,nan,mo-  ni-/i- i--an tipo-   93.18 3,,,,space,intr,action,,1456,,0.0,0.0,,,
1156,10.477,go out/to the outside,keluar,labas,"lumbas mo-  ni-/i- i--an tipo-  (H) 93.18 93x3, labas ma- tipa- i--an (K) (also: ""gugur"")  93.18 93x3",Totoli,Panasakan,120.817,1.0518,,True,,(K),False,nan,ma- tipa- i--an    93.18 3,,"(also: ""gugur"")",,space,intr,action,,1456,,0.0,0.0,,,
1157,13.340,first (in space),pertama,ponimpuunan,ponimpuunan,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,number,,,1330,,0.0,0.0,,,
1158,13.360,second (in space),kedua,kodóua  5,kodóua ['] 93x5,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,['],,,space,number,,,1332,,0.0,0.0,,,
1159,13.420,third (in space),ketiga,kotoLu 5,kotoLu 93x5,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,space,number,,,1334,,0.0,0.0,,,
1160,,my house,rumahku k.g. empunya o. ke I tunggal,baLeku,baLeku,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1369,,0.0,0.0,,,
1161,,our house (exclusive),rumah kami (ke I jamak (exclusive),baLe kami,baLe kami,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1372,,0.0,0.0,,,
1162,,our house (inclusive),rumah kita  (ke I jamak (inkl.)),baLeta,baLeta,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1371,,0.0,0.0,,,
1163,,your house (sing.),rumahmu (k.g. empunya o. ke II tunggal),baLemu,baLemu,Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1373,,0.0,0.0,,,
1163a,,your house (plural),rumah kamu,baLe kamú ssaakan,"baLe kamú ssaakan, baLeta",Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1374,,0.0,0.0,,,
1163a,,your house (plural),rumah kamu,baLeta,"baLe kamú ssaakan, baLeta",Totoli,Panasakan,120.817,1.0518,,True,,,True,nan,,,,,person,pronoun,,,1374,,0.0,0.0,,,
