NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0029,04.360,knee,lutut,tu'u,tu'u  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0091,041,154.0,0.0,C126 D46 E118 F122 G131 Sa92,47.0,
0030,04.362,"popliteal space, back of the knee#",(pe)lipatan lutut,alingkot E,alingkot E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0092,042*,0.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",lolosunang,lolosunang /E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",E,lolosunang /E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031a,04.376,ankle,"mata kaki, buku lali",Buntoling,Buntoling,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,,,,,,0.0,0.0,,,
0032,04.372,heel,tumit,tulë,tulë -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0089,045,138.0,0.0,,,
0033,04.330,hand,tangan,lima,lima  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0034,04.331,palm of the hand,tapak tangan,palë,palë -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0102,028,210.0,0.0,,,
0035,12.541,span (eight inches),jengkal,njangang,njangang /E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,,,anggota tubuh,,029,279.0,0.0,,,
0035,12.541,span (eight inches),jengkal,E,njangang /E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,,,anggota tubuh,,029,279.0,0.0,,,
0036,04.340,finger,jari,Bua nu lima,Bua nu lima,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0037,04.342,thumb,ibu jari,siina nu lima,siina nu lima,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
0038,04.343,"pinky, little finger",jari kelingking,alinsing E,alinsing E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0112,032,0.0,0.0,,,
