NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1182,17.660,where?,di mana?,26,"ruunya -mo  p17/26, rimao p26",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,space,adv / qual,,kata tanya,1460,484,353.0,181.0,C174 E159 F158 G170,,186.0
1182,17.660,where?,di mana?,rimao,"ruunya -mo  p17/26, rimao p26",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,space,adv / qual,,kata tanya,1460,484,353.0,181.0,C174 E159 F158 G170,,186.0
1183,17.670,which?,"mana, (yang) mana",romao,"romao  ""ke mana""  p26",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,"""ke mana""",,,pronoun,,kz,1382,,0.0,0.0,,,
1184,17.672,which house?,rumah mana,vonua ruunya,vonua ruunya  p25,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,pronoun,,kz,1381,,0.0,0.0,,,
1185,17.620,how many? how much?,berapa?,soya,soya / soía  p19,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,kata tanya,1338,486,143.0,0.0,C177 E162 F161 G173,,
1185,17.620,how many? how much?,berapa?,soía,soya / soía  p19,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,kata tanya,1338,486,143.0,0.0,C177 E162 F161 G173,,
1186,17.610,how?,bagaimana?,sumuunya,sumuunya   p17,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,kata tanya,1461,487*,0.0,194.0,C176 E161 F160 G171,,74.0
1188,13.010,one,satu,sobua,sobua,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1293,327,207.0,197.0,C68 D10 E60 F60 G66,11.0,109.0
1189,13.020,two,dua,robua,robua,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1294,328,330.0,198.0,C69 D11 E61 F61 G67,12.0,176.0
1190,13.030,three,tiga,totolu,totolu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1295,329,314.0,199.0,C70 E62 F62 G68,,169.0
1191,13.040,four,empat,apat,apat,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1296,330,121.0,200.0,C71 E63 F63 G69,,56.0
1192,13.050,five,lima,lelima,lelima,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1297,331,114.0,0.0,C72 E64 F64 G70,,50.0
1193,13.060,six,enam,onong,onong,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1298,332,264.0,0.0,C73 E65 F65 G71,,
1194,13.070,seven,tujuh,pepitu,pepitu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1299,333,253.0,0.0,C74 E66 F66 G72 Sa143,,
1195,13.080,eight,delapan,ovalu,ovalu / uvalu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1300,334,93.0,0.0,C75 E67 F67 G73,,
1195,13.080,eight,delapan,uvalu,ovalu / uvalu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1300,334,93.0,0.0,C75 E67 F67 G73,,
1196,13.090,nine,sembilan,sesio,sesio ['],Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,['],,,,number,,nomor-nomor,1301,335,196.0,0.0,C76 E68 F68 G74,,
1197,13.100,ten,sepuluh,sompulu,sompulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1302,336,306.0,0.0,C72 E69 F69 G75 Sa176,,
1198,13.101,eleven,sebelas,sompulu sobua,sompulu sobua ['],Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,['],,,,number,,,1303,,0.0,0.0,,,
1199,13.102,twelve,dua belas,sompulu robua,sompulu robua,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1304,,0.0,0.0,,,
1200,,thirteen,tiga belas,sompulu totolu,sompulu totolu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1305,,0.0,0.0,,,
1201,13.103,Xteen,Xbelas,sompulu apat,sompulu apat / lelima / pepitu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1306,,0.0,0.0,,,
1201,13.103,Xteen,Xbelas,lelima,sompulu apat / lelima / pepitu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1306,,0.0,0.0,,,
1201,13.103,Xteen,Xbelas,pepitu,sompulu apat / lelima / pepitu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1306,,0.0,0.0,,,
1202,,eighteen,delapan belas,sompulu uvalu,sompulu uvalu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1310,,0.0,0.0,,,
1203,,nineteen,sembilan belas,sompulu sisio,sompulu sisio ['],Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,['],,,,number,,,1311,,0.0,0.0,,,
1204,13.104,twenty,dua puluh,rompulu,rompulu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1312,337,329.0,0.0,C78 E70 F70 G76 Sa192,,
